Computational time
1,0.000100,500,100,1.801615
2,0.000100,500,100,2.298088
1,0.000100,500,500,1.989439
2,0.000100,500,500,2.446978
1,0.000100,500,1000,1.993641
2,0.000100,500,1000,2.464966
1,0.000100,500,5000,2.375663
2,0.000100,500,5000,2.709453
1,0.000100,500,10000,3.161620
2,0.000100,500,10000,3.049552
1,0.000100,500,50000,10.869122
2,0.000100,500,50000,9.302898
1,0.000100,500,100000,19.985430
2,0.000100,500,100000,16.324443
1,0.000100,500,500000,94.143305
2,0.000100,500,500000,70.473260
1,0.000100,500,1000000,185.643744
2,0.000100,500,1000000,137.964175
1,0.000100,500,5000000,892.489227
2,0.000100,500,5000000,669.918941
1,0.000100,500,10000000,3973.861781
2,0.000100,500,10000000,2287.638300
