Computational time
1,0.000100,100,100,1.818453
2,0.000100,100,100,2.323535
1,0.000100,100,500,1.992058
2,0.000100,100,500,2.503448
1,0.000100,100,1000,2.041977
2,0.000100,100,1000,2.543110
1,0.000100,100,5000,3.026607
2,0.000100,100,5000,3.330914
1,0.000100,100,10000,4.532782
2,0.000100,100,10000,4.383222
1,0.000100,100,50000,17.849835
2,0.000100,100,50000,15.217745
1,0.000100,100,100000,33.297883
2,0.000100,100,100000,28.296952
1,0.000100,100,500000,161.491973
2,0.000100,100,500000,129.710972
1,0.000100,100,1000000,318.251150
2,0.000100,100,1000000,260.274817
1,0.000100,100,5000000,1593.247137
2,0.000100,100,5000000,1261.384020
1,0.000100,100,10000000,5030.774306
2,0.000100,100,10000000,3350.093860
